Unnamed: 0,Level,Component,EventTemplate,type
0.0,Debug,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",android
1.0,Debug,PowerManagerService,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",android
2.0,Debug,PowerManagerService,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",android
3.0,Verbose,WindowManager,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,android
4.0,Debug,TextView,visible is <*>,android
5.0,Debug,TextView,mVisiblity.getValue is false,android
8.0,Debug,TextView,visible is <*> gt <*>,android
14.0,Debug,PowerManagerService,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",android
17.0,Info,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",android
18.0,Info,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,android
19.0,Warning,ActivityManager,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,android
22.0,Info,PhoneStatusBar,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",android
23.0,Info,PhoneStatusBar,cancelAutohide,android
24.0,Info,PhoneStatusBar,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",android
25.0,Info,WindowManager,Destroying surface Surface(name=<*>) called by <*>,android
28.0,Debug,PowerManagerService,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",android
30.0,Info,WindowManager,"orientation change is complete, call stopFreezingDisplayLocked",android
31.0,Info,WindowManager,Screen frozen for <*> due to Window{<*> u0 <*>.<*>},android
32.0,Debug,WindowManager,startAnimation begin,android
33.0,Debug,WindowManager,startAnimation end,android
36.0,Info,AlarmManager,remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,android
37.0,Info,WindowManager,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",android
38.0,Info,WindowManager,"Application requested orientation <*>, got rotation <*> which has compatible metrics",android
46.0,Warning,PhoneInterfaceManager,shouldBlockLocation running ...,android
47.0,Info,PhoneInterfaceManager,shouldBlockLocation  ret:false,android
50.0,Debug,TelephonyManager,getNeighboringCellInfo calling app is <*>,android
67.0,Debug,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",android
68.0,Info,DisplayPowerController,HBM brightnessIn =<*>,android
69.0,Info,DisplayPowerController,HBM brightnessOut =<*>,android
70.0,Debug,DisplayPowerController,"Animating brightness: target=<*>, rate=<*>",android
73.0,Info,PhoneStatusBar,suspendAutohide,android
74.0,Debug,WindowManager,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down true canceled false,android
75.0,Debug,WindowManager,"interceptKeyBeforeQueueing: key <*> , result : <*>",android
78.0,Info,PhoneStatusBar,resumeSuspendedAutohide,android
79.0,Debug,WindowManager,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false,android
81.0,Verbose,AudioManager,querySoundEffectsEnabled...,android
84.0,Debug,PowerManagerService,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",android
89.0,Warning,ActivityManager,Bad activity token: <*>@<*>,android
90.0,Warning,ActivityManager,<*>: <*> cannot be cast to <*>$Token,android
102.0,Info,PanelView,"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",android
103.0,Info,PanelView,schedulePeek,android
104.0,Verbose,AudioManager,getRingtonePlayer...,android
105.0,Debug,PhoneStatusBar,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,android
107.0,Info,NotificationManager,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",android
108.0,Info,NotificationManager,"updateLightsLocked,turn off notificationLight",android
112.0,Info,StackScrollAlgorithm,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",android
113.0,Info,StackScrollAlgorithm,"state.clipTopAmount:<*>, i:<*>",android
114.0,Info,StackScrollAlgorithm,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",android
115.0,Info,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:true,android
120.0,Info,PanelView,onExpandingStarted,android
122.0,Info,PanelView,onTrackingStarted,android
158.0,Info,PanelView,cancelPeek: false,android
159.0,Info,PanelView,"flingToHeight: vel=<*>.<*>, expand=true, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",android
160.0,Info,PanelView,onTrackingStopped: true,android
191.0,Info,PanelView,onExpandingFinished,android
194.0,Warning,ActivityManager,Sending non-protected broadcast <*> from system <*>:<*> pkg <*>,android
195.0,Info,PhoneStatusBar,logNotificationVisibilityChanges runInThread start,android
196.0,Info,NotificationManager,onNotificationVisibilityChanged called,android
197.0,Info,PhoneStatusBar,logNotificationVisibilityChanges runInThread over,android
198.0,Error,KeyguardUpdateMonitor,isSimPinSecure mSimDatas is null or empty,android
199.0,Warning,KeyguardUpdateMonitor,registerCallback not in UI.,android
200.0,Warning,KeyguardUpdateMonitor,<*>: Must execute in UI,android
